#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags
1181	M+H-H2O	N/A	1	Spectral Match to 9(10)-EpOME from NIST14	Isolated	Data deposited by mjmeehan	0.0	spectra/specs_ms.mgf1181	N/A	N/A	HCD	Positive	ESI	279.231	lib-00032.mgf	Bronze	3	0.787522	1.53008	0.000427246	1	GNPS-NIST14-MATCHES	Data from Gabriel Haddad	279.231	N/A	0	10	N/A	1	279.231	spectra/specs_ms.mgf	CCMSLIB00003134812	9428	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1209	M+H	64191851	1	Spectral Match to Valerylcarnitine from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.mgf1209	N/A	N/A	IT/ion trap	Positive	ESI	246.17	lib-00032.mgf	Bronze	3	0.939081	0.371909	9.15527e-05	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	246.17	N/A	0	5	N/A	1	246.17	spectra/specs_ms.mgf	CCMSLIB00003138757	3244	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1211	M+H-H2O	87984825	1	Spectral Match to 13S-Hydroxy-9Z,11E,15Z-octadecatrienoic acid from NIST14	Isolated	Data deposited by pmallard	0.0	spectra/specs_ms.mgf1211	N/A	N/A	HCD	Positive	ESI	277.216	lib-00032.mgf	Bronze	3	0.857224	0.330258	9.15527e-05	1	GNPS-NIST14-MATCHES	Data from Wolfender/Litaudon	277.216	N/A	0	12	N/A	1	277.216	spectra/specs_ms.mgf	CCMSLIB00003136281	7269	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1214	M+H	54232596	1	Spectral Match to 9-Oxo-10E,12Z-octadecadienoic acid from NIST14	Isolated	Data deposited by lfnothias	0.0	spectra/specs_ms.mgf1214	InChI=1S/C18H30O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h6,8,11,14H,2-5,7,9-10,12-13,15-16H2,1H3,(H,20,21)/b8-6-,14-11+	N/A	qTof	Positive	LC-ESI	295.226	lib-00032.mgf	Bronze	3	0.852613	0.930332	0.000274658	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	295.226	N/A	0	10	CCCCCC=CC=CC(=O)CCCCCCCC(=O)O	1	295.226	spectra/specs_ms.mgf	CCMSLIB00003136345	20190	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1224	M+H	N/A	1	CocamidopropylBetaine	Cosmetic _raw meterial	Amina	342.288	spectra/specs_ms.mgf1224	N/A	N/A	Q-TOF	Positive	ESI	343.296	lib-00013.mgf	Silver	2	0.966094	1.42233	0.000488281	1	GNPS-LIBRARY	Dorrestein	343.296	N/A	0	7	CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]	1	343.296	spectra/specs_ms.mgf	CCMSLIB00000077206	248714	UPDATE-SINGLE-ANNOTATED-SILVER	Surfactant
1227	2M+H	 	1	"(R)-4-((5R,8R,9S,10S,13R,14S,17R)-10,13-dimethyl-3-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	crude	Emily Gentry	374.282	spectra/specs_ms.mgf1227	"InChI=1S/C24H38O3/c1-15(4-9-22(26)27)19-7-8-20-18-6-5-16-14-17(25)10-12-23(16,2)21(18)11-13-24(19,20)3/h15-16,18-21H,4-14H2,1-3H3,(H,26,27)/t15-,16-,18+,19-,20+,21+,23+,24-/m1/s1"	N/A	qTof	Positive	ESI	749.571	lib-00001.mgf	Gold	1	0.893038	0.814268	0.000610352	1	BILELIB19	Dorrestein	749.571	 	0	19	C[C@@H]([C@H]1CC[C@]2([H])[C@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])[C@]3(C)CCC(C4)=O)CCC(O)=O	1	749.572	spectra/specs_ms.mgf	CCMSLIB00005464754	726401	UPDATE-SINGLE-ANNOTATED-GOLD	 
1266	M+H	71751-77-4	1	NCGC00380935-01_C23H23N5O4_(3Z)-6-Hydroxy-3-(1H-imidazol-5-ylmethylene)-12-methoxy-7a-(2-methyl-3-buten-2-yl)-7a,12-dihydro-1H,5H-imidazo[1',2':1,2]pyrido[2,3-b]indole-2,5(3H)-dione	isolated	lfnothias	433.175	spectra/specs_ms.mgf1266	InChI=1S/C23H23N5O4/c1-5-21(2,3)22-11-18(29)20(31)27-17(10-14-12-24-13-25-14)19(30)26-23(22,27)28(32-4)16-9-7-6-8-15(16)22/h5-13,29H,1H2,2-4H3,(H,24,25)(H,26,30)/b17-10-	N/A	Maxis II HD Q-TOF Bruker	positive	LC-ESI	434.182	lib-00002.mgf	Gold	1	0.814643	0.913738	0.000396729	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	Jadhav/Dorrestein	434.182	n/a	0	13	CON1C2=CC=CC=C2C3(\C=C(O)/C(=O)N4\C(=C/C5=CN=C[NH]5)C(=O)NC134)C(C)(C)C=C	1	434.182	spectra/specs_ms.mgf	CCMSLIB00000852096	9686	UPDATE-SINGLE-ANNOTATED-GOLD	 
1273	M+H-H2O	566881	1	Spectral Match to Cholestan-3-one, (5.alpha.)- from NIST14	Isolated	Data deposited by mjmeehan	0.0	spectra/specs_ms.mgf1273	N/A	N/A	QqQ	Positive	ESI	369.351	lib-00032.mgf	Bronze	3	0.833108	1.322	0.000488281	1	GNPS-NIST14-MATCHES	Data from Gabriel Haddad	369.351	N/A	0	13	N/A	1	369.352	spectra/specs_ms.mgf	CCMSLIB00003138970	5092	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1281	M+H-H2O	54739309	1	Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14	Isolated	Data deposited by pmallard	0.0	spectra/specs_ms.mgf1281	N/A	N/A	HCD	Positive	ESI	277.216	lib-00032.mgf	Bronze	3	0.892015	0.330258	9.15527e-05	1	GNPS-NIST14-MATCHES	Data from Wolfender/Litaudon	277.216	N/A	0	10	N/A	1	277.216	spectra/specs_ms.mgf	CCMSLIB00003136232	2925	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1296	M+H	2258926	1	Spectral Match to 1-Linoleoylglycerol from NIST14	Isolated	Data deposited by amelnik	0.0	spectra/specs_ms.mgf1296	N/A	N/A	HCD	Positive	ESI	355.284	lib-00032.mgf	Bronze	3	0.878783	4.46661	0.00158691	1	GNPS-NIST14-MATCHES	Data from Rob Knight 	355.284	N/A	0	12	N/A	1	355.282	spectra/specs_ms.mgf	CCMSLIB00003134936	16070	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1327	M-H2O+H	 	1	"(R)-4-((1R,3S,5S,7R,8S,9S,10S,12S,13R,14S,17R)-1,3,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	crude	Emily Gentry	424.283	spectra/specs_ms.mgf1327	"InChI=1S/C24H40O6/c1-12(4-7-21(29)30)15-5-6-16-22-17(11-20(28)24(15,16)3)23(2)13(9-18(22)26)8-14(25)10-19(23)27/h12-20,22,25-28H,4-11H2,1-3H3,(H,29,30)/t12-,13+,14+,15-,16+,17+,18-,19-,20+,22+,23+,24-/m1/s1"	N/A	qTof	Positive	ESI	407.279	lib-00001.mgf	Gold	1	0.731039	0.224791	9.15527e-05	1	BILELIB19	Dorrestein	407.279	 	0	13	C[C@@H]([C@H]1CC[C@]2([H])[C@]1(C)[C@@H](O)C[C@@]3([H])[C@@]2([H])[C@H](O)C[C@@]4([H])[C@]3(C)[C@H](O)C[C@@H](O)C4)CCC(O)=O	1	407.279	spectra/specs_ms.mgf	CCMSLIB00005465782	228775	UPDATE-SINGLE-ANNOTATED-GOLD	 
1333	M+H	 	0	Commendamide	Lysate	aaksenov	0.0	spectra/specs_ms.mgf1333	 	 	qTof	Positive	LC-ESI	330.264	lib-00013.mgf	Bronze	3	0.944316	0.646825	0.000213623	1	GNPS-LIBRARY	Dorrestein	330.264	 	0	13	 	1	330.264	spectra/specs_ms.mgf	CCMSLIB00004679239	44500	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1356	M+H	629549	1	Spectral Match to Palmitamide from NIST14	Isolated	Data deposited by negarg	0.0	spectra/specs_ms.mgf1356	N/A	N/A	IT-FT/ion trap with FTMS	Positive	ESI	256.263	lib-00032.mgf	Bronze	3	0.875684	1.90539	0.000488281	1	GNPS-NIST14-MATCHES	Data from Pieter C Dorrestein	256.263	N/A	0	8	N/A	1	256.263	spectra/specs_ms.mgf	CCMSLIB00003138668	6940	UPDATE-SINGLE-ANNOTATED-BRONZE	 
139	M+H	63-91-2	0	L-PHENYLALANINE	Commercial standard	Prasad	165.079	spectra/specs_ms.mgf139	N/A	N/A	Q-Exactive Plus	Positive	LC-ESI	166.09	lib-00016.mgf	Gold	1	0.991506	23.427	0.00389099	1	GNPS-EMBL-MCF	Alexandrov Theodore	166.09	6140	0	7	c1(C[C@@H](C(=O)O)N)ccccc1	1	166.086	spectra/specs_ms.mgf	CCMSLIB00000577901	150900	UPDATE-SINGLE-ANNOTATED-GOLD	 
1402	M+H	930121	1	Spectral Match to Decaethylene glycol tridecyl ether from NIST14	Isolated	Data deposited by abouslimani	0.0	spectra/specs_ms.mgf1402	N/A	N/A	QqQ	Positive	ESI	641.487	lib-00032.mgf	Bronze	3	0.89236	5.1379	0.0032959	1	GNPS-NIST14-MATCHES	Data from Maria Gloria Dominguez-Bello and Pieter Dorrestein	641.487	N/A	0	25	N/A	1	641.484	spectra/specs_ms.mgf	CCMSLIB00003140164	12295	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1426	M+H-H2O	N/A	1	Spectral Match to 9(10)-EpOME from NIST14	Isolated	Data deposited by mjmeehan	0.0	spectra/specs_ms.mgf1426	N/A	N/A	HCD	Positive	ESI	279.231	lib-00032.mgf	Bronze	3	0.755306	2.18583	0.000610352	1	GNPS-NIST14-MATCHES	Data from Gabriel Haddad	279.231	N/A	0	9	N/A	1	279.232	spectra/specs_ms.mgf	CCMSLIB00003134812	14630	UPDATE-SINGLE-ANNOTATED-BRONZE	 
147	M+H	144821	1	Spectral Match to Sulfamethizole from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.mgf147	N/A	N/A	QqQ	Positive	ESI	271.031	lib-00032.mgf	Bronze	3	0.982212	0.675589	0.000183105	1	GNPS-NIST14-MATCHES	Data from System Wide MS course 	271.031	N/A	0	7	N/A	1	271.031	spectra/specs_ms.mgf	CCMSLIB00003137228	51740	UPDATE-SINGLE-ANNOTATED-BRONZE	 
148	[M+H]	N/A	1	VALSARTAN	Commercial	Garg_Neha	435.227	spectra/specs_ms.mgf148	N/A	N/A	qTof	Positive	LC-ESI	436.234	lib-00005.mgf	Gold	1	0.98916	1.11931	0.000488281	1	GNPS-NIH-CLINICALCOLLECTION1	Dorrestein	436.234	N/A	0	22	CCCCC(=O)N(Cc1ccc(cc1)c2ccccc2c3nn[nH]n3)[C@@H](C(C)C)C(=O)O	1	436.234	spectra/specs_ms.mgf	CCMSLIB00000079131	1.02905e+06	UPDATE-SINGLE-ANNOTATED-GOLD	 
1486	M+H	N/A	1	"1,2,3,4-tetrahydroharmane-3-carboxylic acid"	Commercial	CASMI2016	0.0	spectra/specs_ms.mgf1486	"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)"	 	qTof	Positive	LC-ESI	231.114	lib-00027.mgf	Gold	1	0.887731	5.61194	0.001297	1	CASMI	CASMI	231.114	73530	0	6	N/A	1	231.113	spectra/specs_ms.mgf	CCMSLIB00000579738	76773	UPDATE-SINGLE-ANNOTATED-GOLD	 
1497	M+H	73405	1	Spectral Match to Guanine from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.mgf1497	N/A	N/A	QqQ	Positive	ESI	152.057	lib-00032.mgf	Bronze	3	0.924869	3.31152	0.00050354	1	GNPS-NIST14-MATCHES	Data from Suryasarathi Dasgupta	152.057	N/A	0	5	N/A	1	152.057	spectra/specs_ms.mgf	CCMSLIB00003137930	9453	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1498	[M+H]+	114798-26-4	1	MassbankEU:SM818901 Losartan|[2-butyl-5-chloro-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol	Isolated	Massbank	0.0	spectra/specs_ms.mgf1498	1S/C22H23ClN6O/c1-2-3-8-20-24-21(23)19(14-30)29(20)13-15-9-11-16(12-10-15)17-6-4-5-7-18(17)22-25-27-28-26-22/h4-7,9-12,30H,2-3,8,13-14H2,1H3,(H,25,26,27,28)	N/A	LC-ESI-QFT	Positive	ESI	423.169	lib-00012.mgf	Bronze	3	0.884327	0.937518	0.000396729	1	MASSBANKEU	Massbank EU	423.169	N/A	0	13	CCCCC1=NC(Cl)=C(CO)N1Cc1ccc(-c2ccccc2C2=NNN=N2)cc1	1	423.169	spectra/specs_ms.mgf	CCMSLIB00000841586	812692	UPDATE-SINGLE-ANNOTATED-BRONZE	 
150	M-2H2O+H	 	1	"(R)-4-((3S,5S,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	crude	Emily Gentry	392.293	spectra/specs_ms.mgf150	"InChI=1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16+,17+,18-,19+,20+,21+,23+,24-/m1/s1"	N/A	qTof	Positive	ESI	357.279	lib-00001.mgf	Gold	1	0.815706	1.11042	0.000396729	1	BILELIB19	Dorrestein	357.279	 	0	13	C[C@@H]([C@H]1CC[C@]2([H])[C@]1(C)[C@@H](O)C[C@@]3([H])[C@@]2([H])CC[C@]4([H])[C@]3(C)CC[C@H](O)C4)CCC(O)=O	1	357.279	spectra/specs_ms.mgf	CCMSLIB00005464840	130870	UPDATE-SINGLE-ANNOTATED-GOLD	 
151	M+H	5130290	1	Spectral Match to 12-Ketodeoxycholic acid from NIST14	Isolated	Data deposited by amelnik	0.0	spectra/specs_ms.mgf151	N/A	N/A	HCD	Positive	ESI	391.284	lib-00032.mgf	Bronze	3	0.833039	0.23398	9.15527e-05	1	GNPS-NIST14-MATCHES	Data from Rob Knight 	391.284	N/A	0	16	N/A	1	391.284	spectra/specs_ms.mgf	CCMSLIB00003139006	542781	UPDATE-SINGLE-ANNOTATED-BRONZE	 
154	M-2H2O+H	 	1	"(R)-4-((3R,5R,6R,7R,8R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	crude	Emily Gentry	424.283	spectra/specs_ms.mgf154	"InChI=1S/C24H40O6/c1-12(4-7-19(27)28)14-5-6-15-20-16(11-18(26)24(14,15)3)23(2)9-8-13(25)10-17(23)21(29)22(20)30/h12-18,20-22,25-26,29-30H,4-11H2,1-3H3,(H,27,28)/t12-,13-,14-,15+,16+,17+,18+,20+,21-,22-,23-,24-/m1/s1"	N/A	qTof	Positive	ESI	389.269	lib-00001.mgf	Gold	1	0.868596	2.11672	0.000823975	1	BILELIB19	Dorrestein	389.269	 	0	15	C[C@@H]([C@H]1CC[C@]2([H])[C@]1(C)[C@@H](O)C[C@@]3([H])[C@@]2([H])[C@@H](O)[C@H](O)[C@@]4([H])[C@]3(C)CC[C@@H](O)C4)CCC(O)=O	1	389.268	spectra/specs_ms.mgf	CCMSLIB00005465702	198280	UPDATE-SINGLE-ANNOTATED-GOLD	 
156	M-H2O+H	 	1	"(R)-4-((3R,5R,8S,9S,10R,13R,14S,17R)-3-hydroxy-10,13-dimethyl-6-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	crude	Emily Gentry	390.277	spectra/specs_ms.mgf156	"InChI=1S/C24H38O4/c1-14(4-7-22(27)28)17-5-6-18-16-13-21(26)20-12-15(25)8-10-24(20,3)19(16)9-11-23(17,18)2/h14-20,25H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16+,17-,18+,19+,20+,23-,24-/m1/s1"	N/A	qTof	Positive	ESI	373.273	lib-00001.mgf	Gold	1	0.845262	1.30811	0.000488281	1	BILELIB19	Dorrestein	373.273	 	0	13	C[C@@H]([C@H]1CC[C@]2([H])[C@]1(C)CC[C@@]3([H])[C@@]2([H])CC([C@@]4([H])[C@]3(C)CC[C@@H](O)C4)=O)CCC(O)=O	1	373.273	spectra/specs_ms.mgf	CCMSLIB00005464731	142500	UPDATE-SINGLE-ANNOTATED-GOLD	 
16	M+H	 	1	Octadecenoic acid	Crude	M Sandoval	282.256	spectra/specs_ms.mgf16	 	 	qTof	Positive	LC-ESI	283.264	lib-00013.mgf	Bronze	3	0.74943	3.87848	0.00109863	1	GNPS-LIBRARY	Dorrestein	283.264	 	0	10	 	1	283.263	spectra/specs_ms.mgf	CCMSLIB00000075360	117400	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1620	M+H	51672	1	Spectral Match to Phenol, 4-(2-aminoethyl)- from NIST14	Isolated	Data deposited by amelnik	0.0	spectra/specs_ms.mgf1620	N/A	N/A	HCD	Positive	ESI	138.091	lib-00032.mgf	Bronze	3	0.992889	1.43647	0.000198364	1	GNPS-NIST14-MATCHES	Data from Rob Knight 	138.091	N/A	0	6	N/A	1	138.091	spectra/specs_ms.mgf	CCMSLIB00003136070	31490	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1635	M+H-H2O	997682	1	Spectral Match to L-Saccharopine from NIST14	Isolated	Data deposited by lfnothias	0.0	spectra/specs_ms.mgf1635	N/A	N/A	HCD	Positive	ESI	259.129	lib-00032.mgf	Bronze	3	0.832615	0.706619	0.000183105	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	259.129	N/A	0	5	N/A	1	259.129	spectra/specs_ms.mgf	CCMSLIB00003138645	4029	UPDATE-SINGLE-ANNOTATED-BRONZE	 
